,0,1,2,3
0,13th,0.0,0.0,1.0
1,1920s,0.0,0.0,1.0
2,1930s,0.0,0.0,1.0
3,1940s,0.0,0.0,1.0
4,1950s,0.0,0.0,1.0
5,1960s,0.0,0.0,1.0
6,1970s,0.0,0.0,1.0
7,1980s,0.0,0.0,1.0
8,1990s,0.0,0.0,1.0
9,19th,0.0,0.0,1.0
10,1st,0.0,0.0,1.0
11,20th,0.0,0.0,1.0
12,30,0.0,0.0,1.0
13,34th,0.0,0.0,1.0
14,40,0.0,0.0,1.0
15,42nd,0.0,0.0,1.0
16,50,0.0,0.0,1.0
17,60,0.0,0.0,1.0
18,6th,0.0,0.0,1.0
19,70,0.0,0.0,1.0
20,80,0.0,0.0,1.0
21,8mm,0.0,0.0,1.0
22,8yearold,0.0,0.0,1.0
23,90,0.0,0.0,1.0
24,_is_,0.0,0.0,1.0
25,_not_,0.0,0.0,1.0
26,_that_,0.0,0.0,1.0
27,a20,0.0,0.0,1.0
28,aaron,0.0,0.0,1.0
29,abandon,0.125,0.375,0.0
30,abandoned,0.5,0.375,0.0
31,abbie,0.0,0.0,1.0
32,abbotts,0.0,0.0,1.0
33,abby,0.0,0.0,1.0
34,abel,0.0,0.0,1.0
35,ability,0.5,0.125,0.0
36,able,0.25,0.0,0.0
37,ably,0.375,0.0,0.0
38,aboard,0.0,0.0,1.0
39,aborted,0.0,0.0,1.0
40,abortion,0.0,0.0,1.0
41,abound,0.0,0.125,0.0
42,abounds,0.0,0.0,1.0
43,abraham,0.0,0.0,1.0
44,abrasive,0.333,0.667,0.0
45,abroad,0.0,0.0,1.0
46,abrupt,0.5,0.375,0.0
47,abruptly,0.0,0.0,1.0
48,absence,0.125,0.125,0.0
49,absent,0.375,0.625,0.0
50,absolute,0.625,0.75,0.0
51,absolutely,0.5,0.0,0.0
52,absorb,0.375,0.0,0.0
53,absorbed,0.25,0.125,0.0
54,absorbing,0.5,0.0,0.0
55,abstract,0.0,0.125,0.0
56,absurd,0.625,0.0,0.0
57,absurdist,0.0,0.0,1.0
58,absurdity,0.375,0.25,0.0
59,absurdly,0.0,0.0,1.0
