,0
0,3
1,3
2,4
3,3
4,2
5,3
6,3
7,2
8,3
9,3
10,4
11,4
12,4
13,2
14,4
15,5
16,2
17,4
18,2
19,2
20,3
21,4
22,3
23,2
24,4
25,2
26,2
27,4
28,3
29,2
30,2
31,3
32,3
33,3
34,3
35,4
36,3
37,3
38,3
39,4
40,3
41,2
42,2
43,3
44,5
45,2
46,5
47,3
48,1
49,4
50,3
51,3
52,1
53,1
54,3
55,2
56,3
57,4
58,3
59,3
60,4
61,4
62,2
63,4
64,4
65,3
66,3
67,3
68,3
69,3
70,3
71,4
72,2
73,4
74,3
75,3
76,3
77,3
78,4
79,2
80,3
81,2
82,2
83,4
84,4
85,2
86,3
87,3
88,3
89,4
90,3
91,5
92,3
93,4
94,4
95,3
96,2
97,3
98,4
99,4
100,3
101,3
102,4
103,4
104,3
105,4
106,3
107,3
108,2
109,5
110,5
111,3
112,4
113,3
114,3
115,4
116,3
117,3
118,3
119,3
120,4
121,3
122,2
123,2
124,2
125,4
126,4
127,3
128,4
129,3
130,4
131,3
132,4
133,3
134,2
135,3
136,4
137,3
138,3
139,3
140,2
141,4
142,4
143,3
144,3
145,1
146,4
147,4
148,4
149,4
150,3
151,5
152,3
153,4
154,4
155,3
156,4
157,3
158,5
159,3
160,3
161,2
162,2
163,2
164,4
165,3
166,1
167,2
168,2
169,3
170,3
171,3
172,3
173,4
174,3
175,4
176,4
177,4
178,3
179,3
180,4
181,4
182,2
183,4
184,2
185,4
186,4
187,4
188,3
189,3
190,2
191,4
192,3
193,3
194,3
195,1
196,2
197,2
198,4
199,3
200,4
201,3
202,3
203,4
204,4
205,4
206,4
207,2
208,2
209,3
210,4
211,2
212,3
213,4
214,4
215,4
216,3
217,4
218,4
219,3
220,3
221,3
222,2
223,3
224,3
225,5
226,4
227,2
228,2
229,4
230,4
231,4
232,4
233,2
234,2
235,4
236,3
237,3
238,4
239,4
240,2
241,4
242,4
243,3
244,4
245,3
246,3
247,4
248,4
249,4
250,5
251,3
252,4
253,2
254,3
255,3
256,2
257,4
258,5
259,2
260,4
261,3
262,2
263,2
264,3
265,3
266,4
267,4
268,4
269,5
270,4
271,4
272,4
273,4
274,3
275,3
276,3
277,2
278,3
279,3
280,2
281,2
282,4
283,1
284,3
285,2
286,2
287,3
288,4
289,5
290,3
291,4
292,2
293,4
294,2
295,2
296,4
297,4
298,4
299,3
300,3
301,4
302,2
303,2
304,4
305,2
306,2
307,2
308,3
309,1
310,3
311,5
312,3
313,3
314,3
315,2
316,5
317,3
318,3
319,3
320,3
321,4
322,3
323,3
324,2
325,3
326,2
327,4
328,5
329,2
330,3
331,4
332,4
333,4
334,2
335,5
336,3
337,2
338,4
339,3
340,2
341,4
342,3
343,4
344,4
345,4
346,3
347,3
348,3
349,2
350,4
351,2
352,4
353,3
354,4
355,4
356,4
357,3
358,3
359,3
360,4
361,4
362,3
363,3
364,4
365,3
366,4
367,4
368,4
369,3
370,2
371,4
372,2
373,3
374,3
375,3
376,2
377,3
378,2
379,2
380,4
381,3
382,3
383,3
384,5
385,3
386,4
387,3
388,3
389,2
390,4
391,3
392,5
393,4
394,4
395,3
396,4
397,2
398,3
399,4
400,4
401,3
402,3
403,3
404,3
405,2
406,3
407,4
408,3
409,4
410,3
411,3
412,2
413,3
414,4
415,2
416,4
417,4
418,3
419,4
420,2
421,3
422,5
423,4
424,3
425,3
426,3
427,4
428,4
429,3
430,4
431,4
432,3
433,3
434,2
435,3
436,3
437,4
438,3
439,3
440,3
441,3
442,4
443,3
444,2
445,4
446,4
447,5
448,2
449,4
450,3
451,5
452,4
453,2
454,4
455,4
456,3
457,3
458,5
459,3
460,2
461,4
462,3
463,4
464,4
465,3
466,3
467,3
468,3
469,3
470,3
471,4
472,3
473,3
474,2
475,2
476,4
477,4
478,3
479,3
480,1
481,5
482,3
483,4
484,4
485,3
486,4
487,4
488,2
489,4
490,5
491,3
492,4
493,4
494,3
495,3
496,4
497,3
498,4
499,2
500,3
501,4
502,3
503,3
504,3
505,4
506,3
507,2
508,2
509,3
510,4
511,3
512,2
513,3
514,2
515,5
516,3
517,4
518,2
519,2
520,3
521,5
522,3
523,5
524,4
525,4
526,2
527,4
528,3
529,4
530,5
531,3
532,4
533,2
534,5
535,4
536,4
537,1
538,2
539,4
540,4
541,4
542,4
543,3
544,4
545,4
546,4
547,2
548,3
549,3
550,4
551,2
552,3
553,4
554,2
555,3
556,3
557,2
558,3
559,2
560,4
561,2
562,2
563,2
564,4
565,3
566,3
567,4
568,3
569,5
570,5
571,3
572,3
573,2
574,5
575,3
576,4
577,3
578,2
579,3
580,5
581,3
582,3
583,4
584,4
585,4
586,3
587,4
588,5
589,2
590,5
591,2
592,3
593,2
594,3
595,3
596,5
597,3
598,3
599,3
600,4
601,1
602,3
603,3
604,4
605,2
606,4
607,3
608,4
609,2
610,5
611,3
612,2
613,3
614,4
615,3
616,2
617,4
618,4
619,2
620,4
621,4
622,4
623,2
624,3
625,4
626,2
627,4
628,1
629,2
630,3
631,2
632,2
633,2
634,3
635,4
636,3
637,4
638,2
639,3
640,2
641,3
642,2
643,4
644,2
645,5
646,3
647,2
648,2
649,4
650,3
651,3
652,1
653,5
654,4
655,3
656,3
657,4
658,2
659,4
660,5
661,3
662,4
663,2
664,4
665,2
666,3
667,5
668,4
669,4
670,5
671,5
672,3
673,5
674,2
675,5
676,4
677,2
678,1
679,2
680,4
681,2
682,2
683,2
684,3
685,2
686,3
687,4
688,4
689,3
690,3
691,4
692,4
693,3
694,3
695,3
696,3
697,3
698,3
699,3
700,3
701,4
702,4
703,4
704,2
705,4
706,3
707,4
708,4
709,3
710,3
711,4
712,4
713,3
714,4
715,2
716,4
717,4
718,3
719,5
720,4
721,3
722,3
723,5
724,4
725,2
726,3
727,4
728,4
729,3
730,2
731,5
732,3
733,4
734,4
735,3
736,3
737,4
738,3
739,4
740,4
741,4
742,2
743,5
744,3
745,3
746,3
747,2
748,4
749,2
750,4
751,3
752,5
753,2
754,2
755,3
756,3
757,3
758,4
759,4
760,2
761,4
762,4
763,4
764,2
765,5
766,3
767,3
768,4
769,3
770,4
771,2
772,4
773,2
774,5
775,4
776,3
777,4
778,3
779,2
780,4
781,4
782,5
783,5
784,3
785,4
786,3
787,4
788,3
789,5
790,4
791,3
792,3
793,2
794,2
795,4
796,3
797,3
798,5
799,3
800,3
801,3
802,4
803,3
804,2
805,3
806,4
807,4
808,4
809,3
810,5
811,2
812,2
813,5
814,3
815,3
816,4
817,2
818,3
819,3
820,2
821,4
822,4
823,3
824,4
825,3
826,2
827,2
828,3
829,3
830,2
831,4
832,2
833,3
834,2
835,4
836,3
837,2
838,3
839,4
840,3
841,3
842,4
843,3
844,4
845,2
846,4
847,2
848,2
849,4
850,4
851,2
852,2
853,2
854,2
855,2
856,4
857,2
858,3
859,3
860,3
861,3
862,3
863,3
864,2
865,2
866,3
867,3
868,3
869,4
870,3
871,4
872,3
873,4
874,3
875,2
876,4
877,3
878,3
879,4
880,1
881,4
