,0
0,4973
1,315
2,1604
3,926
4,2181
5,1035
6,3722
7,602
8,3634
9,1103
10,4410
11,1592
12,67
13,4828
14,157
15,2005
16,3563
17,1959
18,1980
19,4206
20,4901
21,1648
22,3374
23,344
24,1352
25,3538
26,442
27,3063
28,4634
29,2205
30,3937
31,1636
32,4532
33,505
34,4170
35,3823
36,18
37,3147
38,2248
39,646
40,3076
41,1930
42,772
43,47
44,3624
45,2856
46,4488
47,1929
48,4891
49,3981
50,4175
51,1485
52,4500
53,3079
54,1773
55,2774
56,4437
57,3732
58,2945
59,1743
60,2705
61,1637
62,3847
63,4655
64,1045
65,1211
66,1252
67,3059
68,1010
69,3507
70,1627
71,2461
72,3072
73,2302
74,3005
75,2675
76,1260
77,5005
78,2348
79,1885
80,128
81,4820
82,1054
83,3378
84,110
85,1257
86,1105
87,2894
88,1925
89,2833
90,1541
91,2434
92,4425
93,2699
94,4675
95,2055
96,2853
97,1845
98,4919
99,4349
100,4478
101,2970
102,1301
103,2132
104,1685
105,466
106,3239
107,4032
108,1263
109,3477
110,2506
111,3060
112,4487
113,767
114,1394
115,1030
116,3824
117,1348
118,4994
119,2249
120,1857
121,1512
122,1709
123,3354
124,354
125,3066
126,2213
127,3960
128,1543
129,876
130,4896
131,2209
132,2597
133,2297
134,4676
135,3028
136,884
137,490
138,4446
139,4789
140,4852
141,3581
142,1142
143,822
144,492
145,665
146,4629
147,4412
148,990
149,327
150,4345
151,139
152,3439
153,2622
154,3746
155,250
156,342
157,4240
158,3772
159,3713
160,2390
161,792
162,1000
163,2628
164,441
165,2837
166,1302
167,4576
168,1314
169,2583
170,1019
171,916
172,43
173,3425
174,4513
175,2128
176,3180
177,270
178,1500
179,4682
180,511
181,475
182,532
183,4365
184,1323
185,893
186,2871
187,267
188,233
189,1286
190,2330
191,4906
192,2064
193,4987
194,287
195,3139
196,733
197,2950
198,512
199,810
200,3917
201,3896
202,3857
203,4581
204,1679
205,815
206,828
207,3567
208,279
209,1844
210,3495
211,2298
212,2403
213,3827
214,2419
215,3093
216,3318
217,1883
218,2079
219,166
220,2912
221,2891
222,3699
223,3286
224,2697
225,2890
226,4842
227,4374
228,3691
229,4379
230,2588
231,4639
232,1578
233,4195
234,309
235,1827
236,3755
237,3594
238,4316
239,1981
240,818
241,3390
242,1779
243,2896
244,4080
245,111
246,1539
247,1758
248,4683
249,3015
250,3685
251,1538
252,1165
253,892
254,970
255,3136
256,1524
257,4438
258,1188
259,3064
260,4296
261,2569
262,3559
263,4862
264,2441
265,3947
266,77
267,1417
268,262
269,198
270,2288
271,721
272,2220
273,4659
274,4005
275,3106
276,3830
277,2847
278,4347
279,431
280,2429
281,950
282,2859
283,3342
284,3084
285,3258
286,1617
287,4738
288,4798
289,106
290,2133
291,1226
292,1039
293,2522
294,3243
295,4422
296,2413
297,4470
298,513
299,1725
300,3845
301,1678
302,1822
303,3694
304,633
305,3391
306,2677
307,4264
308,1964
309,1339
310,4641
311,3925
312,301
313,2393
314,3269
315,4606
316,1817
317,3155
318,2642
319,3932
320,1993
321,310
322,2783
323,2235
324,1322
325,3927
326,3930
327,4017
328,4981
329,4570
330,2564
331,4914
332,4442
333,1588
334,2342
335,1753
336,1096
337,904
338,642
339,4572
340,4383
341,4197
342,4511
343,2887
344,2430
345,4364
346,593
347,4162
348,2563
349,260
350,2880
351,3635
352,4153
353,4234
354,4585
355,1966
356,4274
357,3528
358,3579
359,4835
360,4825
361,2416
362,2801
363,4972
364,1570
365,2653
366,3377
367,4816
368,1840
369,1247
370,2001
371,3249
372,2468
373,2408
374,3211
375,2668
376,4217
377,986
378,2082
379,2738
380,2632
381,4699
382,2424
383,101
384,4395
385,2043
386,1486
387,594
388,3836
389,946
390,1901
391,1258
392,1683
393,4018
394,2158
395,1455
396,506
397,1453
398,4050
399,1205
400,4281
401,2109
402,1175
403,4803
404,4037
405,1251
406,46
407,3866
408,3164
409,3901
410,2567
411,3620
412,4169
413,147
414,2968
415,2572
416,4053
417,4635
418,2073
419,1786
420,2084
421,4198
422,4061
423,1145
424,2241
425,4090
426,2190
427,312
428,3339
429,4076
430,3295
431,2410
432,4594
433,1192
434,3990
435,3365
436,3950
437,1369
438,4663
439,3218
440,2014
441,1557
442,4031
443,152
444,3000
445,4358
446,1611
447,3617
448,1381
449,3121
450,1639
451,2090
452,407
453,2053
454,55
455,4817
456,1677
457,987
458,1067
459,1375
460,2559
461,1304
462,4453
463,1335
464,4014
465,2674
466,1665
467,255
468,1279
469,2919
470,2147
471,2941
472,4210
473,1801
474,4115
475,915
476,4833
477,2521
478,4179
479,3033
480,335
481,551
482,3333
483,4185
484,4293
485,2114
486,1716
487,1942
488,3626
489,2029
490,718
491,3775
492,3801
493,140
494,1880
495,1097
496,1029
497,3130
498,2935
499,2918
500,4814
501,583
502,1841
503,91
504,930
505,907
506,3687
507,3167
508,1628
509,102
510,1866
511,3524
512,1884
513,4608
514,1416
515,1155
516,2326
517,2144
518,2233
519,2704
520,208
521,1193
522,3764
523,4637
524,724
525,1007
526,19
527,3198
528,2516
529,1316
530,54
531,3261
532,1859
533,2295
534,1088
535,4760
536,4336
537,4491
538,2313
539,1537
540,4028
541,3185
542,4140
543,750
544,3664
545,1126
546,2130
547,2170
548,4509
549,4138
550,2037
551,2979
552,2662
553,1350
554,2482
555,1568
556,4662
557,3679
558,1345
559,3420
560,3979
561,3875
562,1558
563,2737
564,1146
565,3117
566,2262
567,193
568,3828
569,38
570,640
571,4128
572,2698
573,3370
574,1076
575,2844
576,1401
577,4664
578,339
579,1528
580,2363
581,4070
582,2207
583,293
584,2366
585,1676
586,2765
587,1113
588,763
589,2238
590,4880
591,978
592,3809
593,3790
594,3423
595,4908
596,2168
597,1661
598,3803
599,4785
600,3754
601,811
602,3182
603,2582
604,4731
605,479
606,1227
607,3242
608,974
609,3101
610,1295
611,726
612,3588
613,1421
614,870
615,3406
616,3882
617,4517
618,3986
619,3112
620,4829
621,4235
622,1008
623,4694
624,1228
625,4058
626,2456
627,434
628,4063
629,2267
630,4912
631,4822
632,2320
633,2136
634,2113
635,2861
636,2914
637,2279
638,4658
639,2316
640,3649
641,2529
642,3615
643,561
644,3723
645,205
646,1682
647,4519
648,1516
649,4133
650,3476
651,4237
652,4380
653,2395
654,2656
655,3193
656,658
657,2638
658,1619
659,2291
660,3668
661,89
662,3181
663,644
664,760
665,1050
666,2225
667,823
668,4622
669,1234
670,4327
671,3192
672,1893
673,4758
674,754
675,1520
676,4413
677,707
678,143
679,785
680,2050
681,2680
682,4450
683,1864
684,2156
685,2862
686,4313
687,1121
688,171
689,412
690,3711
691,416
692,3415
693,3783
694,1294
695,4181
696,4729
697,3248
698,364
699,3401
700,2398
701,1439
702,740
703,73
704,4441
705,4497
706,1265
707,2208
708,2360
709,1988
710,4143
711,4549
712,2426
713,3826
714,1492
715,2202
716,1216
717,4483
718,4335
719,3545
720,2099
721,1565
722,2978
723,1998
724,3159
725,4998
726,2356
727,3049
728,631
729,2191
730,3013
731,4865
732,4719
733,1080
734,1405
735,632
736,1456
737,2035
738,3761
739,1851
740,4593
741,3003
742,3627
743,1802
744,2229
745,3670
746,178
747,498
748,2388
749,484
750,4266
751,4626
752,4465
753,2246
754,3613
755,3943
756,4407
757,877
758,1166
759,1689
760,1340
761,4255
762,273
763,3387
764,4531
765,759
766,2218
767,1597
768,1356
769,2821
770,3721
771,4545
772,1249
773,3094
774,1598
775,992
776,2093
777,3345
778,2515
779,3178
780,4077
781,1274
782,1843
783,4278
784,1466
785,3544
786,319
787,184
788,4172
789,4711
790,4130
791,4052
792,4239
793,3956
794,2028
795,839
796,3921
797,4597
798,2792
799,539
800,1154
801,3690
802,801
803,2245
804,3935
805,1135
806,3605
807,3470
808,210
809,4411
810,2512
811,65
812,863
813,374
814,4121
815,4940
816,1132
817,3915
818,3069
819,2557
820,1026
821,2328
822,341
823,4381
824,875
825,1506
826,3168
827,372
828,2624
829,2990
830,2259
831,2568
832,3523
833,4579
834,889
835,4439
836,4668
837,4065
838,4330
839,1325
840,2402
841,1579
842,96
843,4022
844,3250
845,3692
846,2637
847,4110
848,3737
849,4815
850,129
851,2561
852,2119
853,1635
854,1985
855,4926
856,4045
857,4476
858,3555
859,1398
860,4684
861,370
862,1788
863,2504
864,2773
865,2116
866,4310
867,4257
868,1820
869,994
870,881
871,737
872,231
873,377
874,1413
875,2910
876,2007
877,432
878,4269
879,3887
880,4367
881,1361
882,3042
883,4250
884,3483
885,1378
886,1591
887,1143
888,2643
889,172
890,3727
891,3863
892,1876
893,2654
894,3296
895,814
896,2256
897,2266
898,948
899,16
900,2026
901,2020
902,4361
903,367
904,1406
905,3176
906,2932
907,3367
908,3436
909,4756
910,4847
911,4033
912,3527
913,4502
914,4620
915,1848
916,4492
917,4989
918,4096
919,4386
920,1935
921,239
922,1624
923,3032
924,4482
925,542
926,2851
927,2725
928,2454
929,1459
930,1668
931,3867
932,1903
933,552
934,362
935,549
936,3018
937,4955
938,2086
939,2988
940,81
941,4027
942,2836
943,1730
944,4858
945,2925
946,355
947,3724
948,3607
949,3347
950,2936
951,2083
952,2449
953,2845
954,2690
955,4064
956,554
957,3004
958,693
959,1181
960,2834
961,3599
962,649
963,4527
964,1333
965,4290
966,420
967,2641
968,5004
969,4657
970,1229
971,1089
972,2780
973,2754
974,2746
975,4203
976,1534
977,2336
978,3946
979,3850
980,3492
981,2305
982,960
