,0
0,4
1,4
2,4
3,4
4,2
5,4
6,3
7,2
8,2
9,3
10,2
11,3
12,3
13,4
14,4
15,4
16,4
17,3
18,4
19,2
20,4
21,4
22,4
23,2
24,3
25,3
26,4
27,4
28,3
29,4
30,4
31,4
32,4
33,4
34,3
35,3
36,4
37,3
38,2
39,4
40,2
41,4
42,4
43,3
44,3
45,5
46,2
47,3
48,3
49,2
50,3
51,4
52,3
53,4
54,2
55,4
56,3
57,3
58,4
59,3
60,4
61,4
62,4
63,5
64,2
65,2
66,4
67,2
68,3
69,3
70,3
71,4
72,3
73,3
74,4
75,5
76,3
77,4
78,2
79,4
80,4
81,4
82,3
83,4
84,2
85,5
86,2
87,5
88,3
89,2
90,2
91,5
92,4
93,4
94,4
95,4
96,3
97,2
98,2
99,3
100,2
101,2
102,4
103,4
104,3
105,2
106,2
107,2
108,3
109,4
110,3
111,3
112,2
113,4
114,2
115,3
116,2
117,4
118,4
119,2
120,4
121,3
122,4
123,3
124,4
125,3
126,4
127,4
128,4
129,2
130,2
131,4
132,3
133,4
134,3
135,4
136,2
137,5
138,4
139,3
140,4
141,2
142,3
143,3
144,4
145,4
146,4
147,3
148,3
149,2
150,3
151,2
152,2
153,3
154,3
155,3
156,5
157,3
158,4
159,2
160,3
161,2
162,4
163,3
164,3
165,4
166,4
167,3
168,2
169,4
170,5
171,3
172,5
173,3
174,2
175,3
176,3
177,3
178,2
179,4
180,3
181,2
182,2
183,2
184,3
185,2
186,2
187,4
188,3
189,4
190,3
191,3
192,2
193,3
194,2
195,4
196,3
197,3
198,4
199,4
200,2
201,3
202,4
203,4
204,2
205,2
206,4
207,2
208,4
209,2
210,2
211,2
212,3
213,4
214,2
215,3
216,3
217,3
218,3
219,2
220,3
221,4
222,3
223,3
224,2
225,4
226,3
227,5
228,4
229,3
230,2
231,2
232,4
233,3
234,2
235,3
236,3
237,5
238,2
239,2
240,3
241,3
242,3
243,2
244,2
245,5
246,2
247,3
248,5
249,3
250,4
251,3
252,3
253,3
254,4
255,2
256,3
257,3
258,4
259,4
260,2
261,3
262,4
263,3
264,4
265,3
266,3
267,3
268,3
269,3
270,3
271,2
272,3
273,3
274,3
275,3
276,5
277,4
278,2
279,2
280,3
281,4
282,3
283,5
284,4
285,4
286,3
287,4
288,3
289,3
290,4
291,2
292,2
293,2
294,3
295,4
296,4
297,4
298,4
299,3
300,2
301,3
302,3
303,4
304,3
305,4
306,2
307,3
308,4
309,3
310,2
311,3
312,3
313,3
314,2
315,4
316,4
317,4
318,2
319,5
320,5
321,2
322,4
323,5
324,3
325,5
326,2
327,2
328,3
329,4
330,4
331,4
332,4
333,3
334,4
335,2
336,5
337,4
338,4
339,3
340,2
341,4
342,4
343,3
344,3
345,3
346,5
347,3
348,1
349,5
350,4
351,3
352,3
353,3
354,3
355,4
356,2
357,4
358,3
359,4
360,4
361,4
362,1
363,2
364,3
365,4
366,2
367,2
368,4
369,2
370,4
371,2
372,4
373,2
374,2
375,5
376,5
377,4
378,2
379,2
380,4
381,2
382,3
383,4
384,4
385,3
386,3
387,3
388,3
389,3
390,3
391,2
392,2
393,3
394,2
395,3
396,4
397,4
398,3
399,4
400,3
401,4
402,4
403,4
404,5
405,3
406,3
407,2
408,3
409,3
410,3
411,4
412,1
413,4
414,3
415,2
416,3
417,5
418,2
419,5
420,4
421,3
422,3
423,4
424,2
425,2
426,4
427,3
428,3
429,4
430,3
431,2
432,2
433,2
434,4
435,4
436,2
437,3
438,4
439,3
440,4
441,2
442,3
443,3
444,4
445,3
446,4
447,2
448,3
449,4
450,4
451,2
452,2
453,3
454,3
455,3
456,3
457,4
458,3
459,3
460,3
461,3
462,3
463,3
464,4
465,5
466,3
467,3
468,3
469,4
470,3
471,1
472,4
473,3
474,2
475,4
476,2
477,4
478,2
479,3
480,3
481,3
482,3
483,3
484,3
485,3
486,3
487,3
488,4
489,4
490,4
491,4
492,2
493,2
494,4
495,2
496,3
497,4
498,2
499,4
500,4
501,4
502,4
503,3
504,2
505,2
506,3
507,2
508,3
509,2
510,3
511,2
512,4
513,2
514,3
515,3
516,4
517,3
518,2
519,4
520,3
521,2
522,4
523,3
524,4
525,4
526,2
527,5
528,3
529,2
530,3
531,4
532,1
533,3
534,2
535,4
536,5
537,3
538,4
539,4
540,5
541,2
542,4
543,2
544,3
545,4
546,3
547,1
548,3
549,4
550,4
551,3
552,4
553,4
554,3
555,4
556,4
557,3
558,4
559,3
560,3
561,3
562,4
563,2
564,2
565,3
566,4
567,3
568,2
569,4
570,3
571,3
572,4
573,2
574,2
575,5
576,3
577,4
578,3
579,3
580,3
581,4
582,4
583,4
584,3
585,3
586,4
587,4
588,2
589,2
590,2
591,2
592,2
593,4
594,2
595,3
596,3
597,4
598,2
599,2
600,4
601,3
602,4
603,3
604,3
605,2
606,2
607,2
608,3
609,3
610,5
611,3
612,2
613,3
614,4
615,3
616,4
617,2
618,2
619,3
620,3
621,3
622,4
623,4
624,5
625,1
626,2
627,4
628,3
629,4
630,4
631,3
632,2
633,3
634,2
635,3
636,3
637,2
638,4
639,3
640,4
641,3
642,4
643,2
644,2
645,2
646,2
647,3
648,3
649,4
650,3
651,3
652,3
653,3
654,3
655,2
656,4
657,4
658,3
659,3
660,2
661,4
662,3
663,3
664,4
665,3
666,3
667,3
668,4
669,4
670,3
671,1
672,2
673,2
674,2
675,2
676,3
677,3
678,3
679,4
680,4
681,4
682,3
683,2
684,3
685,2
686,1
687,3
688,4
689,2
690,1
691,4
692,3
693,4
694,4
695,2
696,4
697,3
698,4
699,4
700,3
701,4
702,3
703,3
704,3
705,3
706,3
707,2
708,3
709,2
710,4
711,4
712,3
713,4
714,2
715,3
716,3
717,4
718,5
719,2
720,2
721,5
722,3
723,5
724,2
725,4
726,2
727,2
728,4
729,2
730,3
731,3
732,4
733,4
734,3
735,3
736,5
737,4
738,5
739,3
740,4
741,4
742,3
743,3
744,2
745,3
746,3
747,4
748,2
749,3
750,3
751,4
752,4
753,3
754,3
755,5
756,3
757,3
758,4
759,4
760,3
761,2
762,4
763,2
764,3
765,4
766,4
767,4
768,3
769,2
770,4
771,4
772,3
773,3
774,4
775,2
776,3
777,3
778,3
779,4
780,4
781,4
782,5
783,4
784,3
785,2
786,4
787,3
788,2
789,3
790,3
791,3
792,5
793,3
794,3
795,3
796,3
797,3
798,1
799,5
800,2
801,3
802,4
803,3
804,4
805,3
806,2
807,3
808,3
809,4
810,3
811,3
812,2
813,2
814,2
815,4
816,4
817,4
818,2
819,4
820,2
821,3
822,3
823,4
824,2
825,3
826,1
827,4
828,2
829,3
830,4
831,3
832,4
833,2
834,3
835,4
836,5
837,3
838,2
839,4
840,3
841,3
842,3
843,3
844,3
845,3
846,4
847,4
848,4
849,5
850,4
851,1
852,3
853,3
854,3
855,3
856,3
857,3
858,4
859,2
860,3
861,2
862,4
863,4
864,4
865,3
866,3
867,4
868,3
869,4
870,3
871,4
872,4
873,4
874,3
875,2
876,4
877,4
878,2
879,2
880,3
881,3
882,3
883,3
884,5
885,2
886,4
887,3
888,2
889,3
890,4
891,3
892,3
893,4
894,3
895,2
896,3
897,1
898,4
899,3
900,3
901,3
902,3
903,2
904,3
905,3
906,4
907,2
908,3
909,2
910,4
911,3
912,2
913,4
914,4
915,2
916,4
917,2
918,5
919,4
920,4
921,4
922,4
923,4
924,4
925,3
926,3
927,5
928,2
929,4
930,3
931,4
932,4
933,4
934,4
935,5
936,3
937,2
938,2
939,4
940,3
941,2
942,4
943,3
944,2
945,2
946,2
947,2
948,5
949,4
950,3
951,3
952,5
953,3
954,3
955,4
956,2
957,1
958,2
959,3
960,3
961,3
962,5
963,4
964,4
965,4
966,5
967,5
968,4
969,4
970,3
971,3
972,3
973,2
974,3
975,4
976,3
977,3
978,3
979,4
980,3
981,3
982,4
983,3
984,4
985,1
986,3
987,4
988,5
989,4
990,4
991,2
992,3
993,3
994,3
995,3
996,4
997,4
998,3
999,3
1000,4
